Title,Year,Conference
Killing Two Birds With One Stone: Efficient and Robust Training of Face Recognition CNNs by Partial FC,2022,CVPR
NeRF-Editing: Geometry Editing of Neural Radiance Fields,2022,CVPR
Optimal Correction Cost for Object Detection Evaluation,2022,CVPR
Contextual Similarity Distillation for Asymmetric Image Retrieval,2022,CVPR
FineDiving: A Fine-Grained Dataset for Procedure-Aware Action Quality Assessment,2022,CVPR
Artistic Style Discovery With Independent Components,2022,CVPR
HEAT: Holistic Edge Attention Transformer for Structured Reconstruction,2022,CVPR
HyperStyle: StyleGAN Inversion With HyperNetworks for Real Image Editing,2022,CVPR
DASO: Distribution-Aware Semantics-Oriented Pseudo-Label for Imbalanced Semi-Supervised Learning,2022,CVPR
Mobile-Former: Bridging MobileNet and Transformer,2022,CVPR
Exploiting Pseudo Labels in a Self-Supervised Learning Framework for Improved Monocular Depth Estimation,2022,CVPR
DESTR: Object Detection With Split Transformer,2022,CVPR
LTP: Lane-Based Trajectory Prediction for Autonomous Driving,2022,CVPR
CycleMix: A Holistic Strategy for Medical Image Segmentation From Scribble Supervision,2022,CVPR
VideoINR: Learning Video Implicit Neural Representation for Continuous Space-Time Super-Resolution,2022,CVPR
Towards End-to-End Unified Scene Text Detection and Layout Analysis,2022,CVPR
Image Based Reconstruction of Liquids From 2D Surface Detections,2022,CVPR
Contextual Outpainting With Object-Level Contrastive Learning,2022,CVPR
AP-BSN: Self-Supervised Denoising for Real-World Images via Asymmetric PD and Blind-Spot Network,2022,CVPR
"AutoSDF: Shape Priors for 3D Completion, Reconstruction and Generation",2022,CVPR
ISNAS-DIP: Image-Specific Neural Architecture Search for Deep Image Prior,2022,CVPR
Depth-Guided Sparse Structure-From-Motion for Movies and TV Shows,2022,CVPR
End-to-End Referring Video Object Segmentation With Multimodal Transformers,2022,CVPR
Unpaired Cartoon Image Synthesis via Gated Cycle Mapping,2022,CVPR
IterMVS: Iterative Probability Estimation for Efficient Multi-View Stereo,2022,CVPR
Not All Points Are Equal: Learning Highly Efficient Point-Based Detectors for 3D LiDAR Point Clouds,2022,CVPR
FedCorr: Multi-Stage Federated Learning for Label Noise Correction,2022,CVPR
Detecting Camouflaged Object in Frequency Domain,2022,CVPR
RigNeRF: Fully Controllable Neural 3D Portraits,2022,CVPR
CLIP-Forge: Towards Zero-Shot Text-To-Shape Generation,2022,CVPR
Style-Based Global Appearance Flow for Virtual Try-On,2022,CVPR
Source-Free Object Detection by Learning To Overlook Domain Style,2022,CVPR
Active Learning for Open-Set Annotation,2022,CVPR
SceneSqueezer: Learning To Compress Scene for Camera Relocalization,2022,CVPR
SelfRecon: Self Reconstruction Your Digital Avatar From Monocular Video,2022,CVPR
Instance-Dependent Label-Noise Learning With Manifold-Regularized Transition Matrix Estimation,2022,CVPR
Rethinking the Augmentation Module in Contrastive Learning: Learning Hierarchical Augmentation Invariance With Expanded Views,2022,CVPR
Self-Supervised Models Are Continual Learners,2022,CVPR
Dreaming To Prune Image Deraining Networks,2022,CVPR
Equivariant Point Cloud Analysis via Learning Orientations for Message Passing,2022,CVPR
When Does Contrastive Visual Representation Learning Work?,2022,CVPR
