Title,Year,Conference
Killing Two Birds With One Stone: Efficient and Robust Training of Face Recognition CNNs by Partial FC,2022,cvpr
NeRF-Editing: Geometry Editing of Neural Radiance Fields,2022,cvpr
Optimal Correction Cost for Object Detection Evaluation,2022,cvpr
Contextual Similarity Distillation for Asymmetric Image Retrieval,2022,cvpr
FineDiving: A Fine-Grained Dataset for Procedure-Aware Action Quality Assessment,2022,cvpr
Artistic Style Discovery With Independent Components,2022,cvpr
HEAT: Holistic Edge Attention Transformer for Structured Reconstruction,2022,cvpr
HyperStyle: StyleGAN Inversion With HyperNetworks for Real Image Editing,2022,cvpr
DASO: Distribution-Aware Semantics-Oriented Pseudo-Label for Imbalanced Semi-Supervised Learning,2022,cvpr
Mobile-Former: Bridging MobileNet and Transformer,2022,cvpr
Exploiting Pseudo Labels in a Self-Supervised Learning Framework for Improved Monocular Depth Estimation,2022,cvpr
DESTR: Object Detection With Split Transformer,2022,cvpr
LTP: Lane-Based Trajectory Prediction for Autonomous Driving,2022,cvpr
CycleMix: A Holistic Strategy for Medical Image Segmentation From Scribble Supervision,2022,cvpr
VideoINR: Learning Video Implicit Neural Representation for Continuous Space-Time Super-Resolution,2022,cvpr
Towards End-to-End Unified Scene Text Detection and Layout Analysis,2022,cvpr
Image Based Reconstruction of Liquids From 2D Surface Detections,2022,cvpr
Contextual Outpainting With Object-Level Contrastive Learning,2022,cvpr
AP-BSN: Self-Supervised Denoising for Real-World Images via Asymmetric PD and Blind-Spot Network,2022,cvpr
"AutoSDF: Shape Priors for 3D Completion, Reconstruction and Generation",2022,cvpr
ISNAS-DIP: Image-Specific Neural Architecture Search for Deep Image Prior,2022,cvpr
Depth-Guided Sparse Structure-From-Motion for Movies and TV Shows,2022,cvpr
End-to-End Referring Video Object Segmentation With Multimodal Transformers,2022,cvpr
Unpaired Cartoon Image Synthesis via Gated Cycle Mapping,2022,cvpr
IterMVS: Iterative Probability Estimation for Efficient Multi-View Stereo,2022,cvpr
Not All Points Are Equal: Learning Highly Efficient Point-Based Detectors for 3D LiDAR Point Clouds,2022,cvpr
FedCorr: Multi-Stage Federated Learning for Label Noise Correction,2022,cvpr
Detecting Camouflaged Object in Frequency Domain,2022,cvpr
RigNeRF: Fully Controllable Neural 3D Portraits,2022,cvpr
CLIP-Forge: Towards Zero-Shot Text-To-Shape Generation,2022,cvpr
Style-Based Global Appearance Flow for Virtual Try-On,2022,cvpr
Source-Free Object Detection by Learning To Overlook Domain Style,2022,cvpr
Active Learning for Open-Set Annotation,2022,cvpr
SceneSqueezer: Learning To Compress Scene for Camera Relocalization,2022,cvpr
SelfRecon: Self Reconstruction Your Digital Avatar From Monocular Video,2022,cvpr
Instance-Dependent Label-Noise Learning With Manifold-Regularized Transition Matrix Estimation,2022,cvpr
Rethinking the Augmentation Module in Contrastive Learning: Learning Hierarchical Augmentation Invariance With Expanded Views,2022,cvpr
Self-Supervised Models Are Continual Learners,2022,cvpr
Dreaming To Prune Image Deraining Networks,2022,cvpr
Equivariant Point Cloud Analysis via Learning Orientations for Message Passing,2022,cvpr
When Does Contrastive Visual Representation Learning Work?,2022,cvpr
